County,PrecinctName,Registration,PartyName,VoteCount,Priority
KANE,SC0016,2594,Republican,21,
KANE,SC0016,2594,Republican,154,
McHENRY,Algonquin 23,980,Democrat,2,
McHENRY,Algonquin 23,980,Democrat,6,
McHENRY,Algonquin 23,980,Democrat,19,
McHENRY,Algonquin 23,980,Democrat,6,
McHENRY,Algonquin 23,980,Democrat,0,
McHENRY,Algonquin 23,980,Democrat,37,
McHENRY,Algonquin 23,980,Democrat,60,
McHENRY,Algonquin 23,980,Democrat,0,
McHENRY,Algonquin 23,980,Democrat,5,
McHENRY,Algonquin 23,980,Democrat,13,
McHENRY,Algonquin 24,928,Democrat,2,
McHENRY,Algonquin 24,928,Democrat,0,
McHENRY,Algonquin 24,928,Democrat,27,
McHENRY,Algonquin 24,928,Democrat,9,
McHENRY,Algonquin 24,928,Democrat,1,
McHENRY,Algonquin 24,928,Democrat,20,
McHENRY,Algonquin 24,928,Democrat,28,
McHENRY,Algonquin 24,928,Democrat,0,
McHENRY,Algonquin 24,928,Democrat,7,
McHENRY,Algonquin 24,928,Democrat,7,
McHENRY,Algonquin 30,1029,Democrat,3,
McHENRY,Algonquin 30,1029,Democrat,5,
McHENRY,Algonquin 30,1029,Democrat,18,
McHENRY,Algonquin 30,1029,Democrat,10,
McHENRY,Algonquin 30,1029,Democrat,0,
McHENRY,Algonquin 30,1029,Democrat,27,
McHENRY,Algonquin 30,1029,Democrat,33,
McHENRY,Algonquin 30,1029,Democrat,0,
McHENRY,Algonquin 30,1029,Democrat,5,
McHENRY,Algonquin 30,1029,Democrat,16,
McHENRY,Algonquin 8,958,Democrat,3,
McHENRY,Algonquin 8,958,Democrat,3,
McHENRY,Algonquin 8,958,Democrat,15,
McHENRY,Algonquin 8,958,Democrat,12,
McHENRY,Algonquin 8,958,Democrat,0,
McHENRY,Algonquin 8,958,Democrat,24,
McHENRY,Algonquin 8,958,Democrat,35,
McHENRY,Algonquin 8,958,Democrat,0,
McHENRY,Algonquin 8,958,Democrat,4,
McHENRY,Algonquin 8,958,Democrat,21,
McHENRY,Algonquin 17,1246,Democrat,4,
McHENRY,Algonquin 17,1246,Democrat,7,
McHENRY,Algonquin 17,1246,Democrat,13,
McHENRY,Algonquin 17,1246,Democrat,6,
McHENRY,Algonquin 18,692,Republican,0,
McHENRY,Algonquin 18,692,Republican,0,
McHENRY,Algonquin 21,960,Republican,70,
McHENRY,Algonquin 21,960,Republican,23,
McHENRY,Algonquin 21,960,Republican,0,
McHENRY,Algonquin 21,960,Republican,0,
McHENRY,Algonquin 39,981,Republican,66,
McHENRY,Algonquin 39,981,Republican,2,
McHENRY,Algonquin 39,981,Republican,0,
McHENRY,Algonquin 39,981,Republican,0,
McHENRY,Algonquin 44,780,Republican,60,
McHENRY,Algonquin 44,780,Republican,13,
McHENRY,Algonquin 44,780,Republican,0,
McHENRY,Algonquin 44,780,Republican,0,
McHENRY,Algonquin 50,913,Republican,91,
McHENRY,Algonquin 50,913,Republican,14,
McHENRY,Algonquin 50,913,Republican,0,
McHENRY,Algonquin 50,913,Republican,0,
McHENRY,Algonquin 11,1219,Republican,88,
McHENRY,Algonquin 11,1219,Republican,8,
McHENRY,Algonquin 11,1219,Republican,0,
McHENRY,Algonquin 11,1219,Republican,0,
McHENRY,Algonquin 14,883,Republican,101,
McHENRY,Algonquin 14,883,Republican,16,
McHENRY,Algonquin 14,883,Republican,0,
McHENRY,Algonquin 14,883,Republican,0,
McHENRY,Algonquin 43,1193,Republican,102,
McHENRY,Algonquin 43,1193,Republican,10,
McHENRY,Algonquin 43,1193,Republican,0,
McHENRY,Algonquin 43,1193,Republican,0,
McHENRY,Algonquin 46,1100,Republican,105,
McHENRY,Algonquin 46,1100,Republican,28,
